burglary,earthquake,alarm,acceptance_ratio,time_elapsed_us,start_time,end_time,mh_start_time,mh_end_time
0.296387,0.19667,0.742966,0.2542,8951,1638318204934197,1638318204943148,1638318204938463,1638318204942493
0.297729,0.200317,0.75264,0.255267,7478,1638318204943149,1638318204950627,1638318204946864,1638318204950202
0.27243,0.208984,0.741241,0.25,5393,1638318204950628,1638318204956021,1638318204953082,1638318204955594
0.296982,0.224365,0.764526,0.251467,4774,1638318204956022,1638318204960796,1638318204958479,1638318204960512
0.292526,0.196808,0.744919,0.2496,3633,1638318204960796,1638318204964429,1638318204962484,1638318204964145
0.307999,0.197632,0.750626,0.250667,3631,1638318204964430,1638318204968061,1638318204966113,1638318204967777
0.293137,0.193481,0.73584,0.2534,2880,1638318204968061,1638318204970941,1638318204969610,1638318204970747
0.297104,0.199402,0.739471,0.247667,2517,1638318204970941,1638318204973458,1638318204972135,1638318204973265
0.313034,0.197067,0.713974,0.254667,2537,1638318204973458,1638318204975995,1638318204974654,1638318204975798
0.295532,0.213745,0.744171,0.250933,2567,1638318204975996,1638318204978563,1638318204977224,1638318204978370
0.272446,0.228394,0.735413,0.250667,2483,1638318204978563,1638318204981046,1638318204979754,1638318204980857
0.294647,0.199417,0.749985,0.249067,2510,1638318204981046,1638318204983556,1638318204982223,1638318204983353
0.298859,0.184647,0.726486,0.2466,2454,1638318204983556,1638318204986010,1638318204984712,1638318204985820
0.302383,0.199554,0.736099,0.2486,2453,1638318204986010,1638318204988463,1638318204987168,1638318204988274
0.293777,0.167938,0.711792,0.2464,2486,1638318204988464,1638318204990950,1638318204989632,1638318204990756
0.298248,0.200302,0.73288,0.246667,2470,1638318204990950,1638318204993420,1638318204992126,1638318204993231
0.292618,0.18132,0.727127,0.238867,2504,1638318204993420,1638318204995924,1638318204994608,1638318204995735
0.296661,0.199692,0.729416,0.251533,2443,1638318204995924,1638318204998367,1638318204997067,1638318204998177
0.322891,0.200592,0.72937,0.241733,2504,1638318204998367,1638318205000871,1638318204999567,1638318205000682
0.309555,0.215485,0.75711,0.249867,2425,1638318205000871,1638318205003296,1638318205002000,1638318205003106
