burglary,earthquake,alarm,acceptance_ratio,time_elapsed_us,start_time,end_time,mh_start_time,mh_end_time
0.2797,0.1653,0.7338,0.0681333,43053,1638318758872447,1638318758915500,1638318758883409,1638318758915282
0.2739,0.1681,0.7907,0.0672,24556,1638318758915500,1638318758940056,1638318758918544,1638318758939844
0.2907,0.1569,0.7591,0.0728667,24478,1638318758940057,1638318758964535,1638318758942972,1638318758964322
0.3259,0.1843,0.7676,0.0686,24266,1638318758964535,1638318758988801,1638318758967442,1638318758988589
0.2452,0.1802,0.7316,0.0651333,24144,1638318758988801,1638318759012945,1638318758991703,1638318759012733
0.3272,0.1421,0.7419,0.0677333,24171,1638318759012946,1638318759037117,1638318759015828,1638318759036905
0.2752,0.1768,0.754,0.0650667,24042,1638318759037117,1638318759061159,1638318759039972,1638318759060947
0.2476,0.1907,0.7316,0.0672667,24091,1638318759061160,1638318759085251,1638318759064007,1638318759085039
0.3054,0.1852,0.7727,0.0678667,23855,1638318759085252,1638318759109107,1638318759088099,1638318759108895
0.2898,0.1814,0.7825,0.07,24152,1638318759109107,1638318759133259,1638318759111954,1638318759133046
0.2914,0.1964,0.781,0.0719333,24222,1638318759133259,1638318759157481,1638318759136105,1638318759157271
0.326,0.1677,0.7788,0.0718,24072,1638318759157481,1638318759181553,1638318759160329,1638318759181341
0.2566,0.1878,0.7649,0.0658,24085,1638318759181554,1638318759205639,1638318759184400,1638318759205427
0.2817,0.1661,0.7782,0.0662667,24183,1638318759205639,1638318759229822,1638318759208528,1638318759229610
0.3127,0.1809,0.7541,0.0694,24193,1638318759229823,1638318759254016,1638318759232675,1638318759253804
0.2567,0.1502,0.7005,0.0709333,24148,1638318759254016,1638318759278164,1638318759256866,1638318759277945
0.2845,0.1847,0.7459,0.0702667,24096,1638318759278164,1638318759302260,1638318759281034,1638318759302045
0.2813,0.185,0.7482,0.07,24097,1638318759302260,1638318759326357,1638318759305107,1638318759326145
0.2723,0.1461,0.7042,0.0667333,24054,1638318759326358,1638318759350412,1638318759329254,1638318759350200
0.2514,0.1759,0.786,0.0656,24129,1638318759350412,1638318759374541,1638318759353258,1638318759374328
