mu,tau,theta_std_1,theta_std_2,theta_std_3,theta_std_4,theta_std_5,theta_std_6,theta_std_7,theta_std_8,acceptance_ratio,time_elapsed_us,start_time,end_time,mh_start_time,mh_end_time
7.56546,5.98205,0.39539,0.0145756,-0.175799,-0.0212169,-0.338061,-0.202474,0.364765,0.0644413,0.136237,5849678,1600635737198353,1600635743048031,1600635737257409,1600635742976645
7.57787,5.95202,0.398659,0.0120804,-0.181998,-0.0181308,-0.33375,-0.186788,0.358921,0.0583184,0.135843,5836852,1600635743051118,1600635748887970,1600635743095115,1600635748817475
7.77982,5.93108,0.398091,0.00974531,-0.189017,-0.0251989,-0.341422,-0.20312,0.353041,0.0625636,0.135412,5828964,1600635748890991,1600635754719955,1600635748935092,1600635754649072
7.87412,5.78829,0.374388,0.00710765,-0.183769,-0.0171013,-0.349915,-0.212449,0.340117,0.058108,0.135579,5822165,1600635754723027,1600635760545192,1600635754766962,1600635760474596
7.83134,5.80117,0.381387,0.00548537,-0.180953,-0.0213661,-0.344142,-0.206702,0.340165,0.0617598,0.137045,5811904,1600635760548212,1600635766360116,1600635760592301,1600635766289491
7.70296,5.92664,0.390897,0.0104627,-0.190615,-0.0195045,-0.341658,-0.211749,0.353158,0.0628358,0.135553,5840918,1600635766363193,1600635772204111,1600635766407070,1600635772133449
7.71132,6.10235,0.391474,0.013951,-0.18208,-0.0177465,-0.337938,-0.204385,0.348116,0.0698947,0.134488,5851873,1600635772207205,1600635778059078,1600635772251205,1600635777987964
7.68108,5.7888,0.38019,0.00623761,-0.179478,-0.0244299,-0.336094,-0.198786,0.352047,0.0546541,0.136981,5839792,1600635778062154,1600635783901946,1600635778106098,1600635783831325
7.78325,6.00928,0.392251,0.00704617,-0.195955,-0.0261408,-0.345105,-0.208139,0.352039,0.0708975,0.134549,5973770,1600635783905015,1600635789878785,1600635783949074,1600635789808182
8.04788,6.07387,0.388936,-0.00107608,-0.198394,-0.0366937,-0.352781,-0.219176,0.338604,0.0494657,0.135765,5882263,1600635789881904,1600635795764167,1600635789926091,1600635795692966
7.88083,6.03187,0.373763,0.00863802,-0.191663,-0.0384181,-0.33903,-0.211433,0.345503,0.0676912,0.134483,5850174,1600635795767251,1600635801617425,1600635795811524,1600635801546064
7.91391,5.95431,0.393138,0.00497409,-0.196064,-0.0264141,-0.349132,-0.211684,0.344556,0.0592782,0.136397,5865044,1600635801620497,1600635807485541,1600635801664771,1600635807414178
7.67307,6.03423,0.397191,0.00880352,-0.193025,-0.0248514,-0.349892,-0.205783,0.353463,0.0723214,0.13475,5877847,1600635807488729,1600635813366576,1600635807533219,1600635813295310
7.71846,6.22949,0.412802,0.0116514,-0.192962,-0.0183753,-0.344426,-0.204068,0.361936,0.0749157,0.132893,5924126,1600635813369656,1600635819293782,1600635813413888,1600635819222935
7.84501,5.83534,0.37485,-0.0101837,-0.182928,-0.0270706,-0.34251,-0.212385,0.334571,0.0586837,0.136409,5857891,1600635819296841,1600635825154732,1600635819340896,1600635825083386
7.97549,5.84151,0.385151,0.00458726,-0.198209,-0.0320957,-0.354106,-0.216184,0.336677,0.0544327,0.136674,5907890,1600635825157798,1600635831065688,1600635825202013,1600635830994157
7.67126,6.04629,0.394309,0.0150425,-0.186388,-0.00876037,-0.34524,-0.201801,0.359823,0.0706515,0.135281,5859382,1600635831068825,1600635836928207,1600635831113157,1600635836857304
7.55958,5.92404,0.386761,0.00698488,-0.172427,-0.0145818,-0.331079,-0.196438,0.35554,0.0675513,0.135997,5861072,1600635836931291,1600635842792363,1600635836975584,1600635842721173
7.89412,5.65506,0.372944,0.0040504,-0.187213,-0.0275493,-0.341917,-0.20625,0.334272,0.0563618,0.137095,5837507,1600635842795447,1600635848632954,1600635842839643,1600635848561830
7.88984,6.1834,0.398284,6.13231e-05,-0.193387,-0.03612,-0.358968,-0.220532,0.352401,0.0594224,0.1351,5865295,1600635848636015,1600635854501310,1600635848680038,1600635854422530
