# stan_version_major = 2
# stan_version_minor = 23
# stan_version_patch = 0
# model = GaussianStan_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = GaussianStan.data.json
# init = 2 (Default)
# random
#   seed = 2432242613 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
# Adaptation terminated
# Step size = 0.44568
# Diagonal elements of inverse mass matrix:
# 0.254891, 0.38534
-4.15325,0.91737,0.44568,3,7,0,4.99932,0.952105,3.31234
-3.88999,0.999563,0.44568,2,3,0,4.22131,0.888024,3.02079
-1.54273,0.975697,0.44568,3,7,0,4.28588,1.05873,0.846395
-0.690282,0.900985,0.44568,1,3,0,2.68448,1.4657,1.00946
-1.34332,0.966103,0.44568,3,7,0,1.68125,1.82384,1.39411
-1.00185,0.979709,0.44568,3,7,0,2.02215,1.29931,1.04624
-2.1221,0.875563,0.44568,2,5,0,3.5171,0.850952,1.10347
-0.0355634,0.965313,0.44568,3,7,0,2.9629,1.92084,0.786191
0.155231,0.99965,0.44568,2,3,0,0.115213,1.73122,0.731342
0.428792,0.980789,0.44568,2,7,0,0.446302,1.88402,0.53873
-0.952327,0.922055,0.44568,2,7,0,1.45178,2.19307,1.07116
-1.00165,0.975155,0.44568,3,7,0,1.4988,1.80821,1.22964
-0.47311,0.987189,0.44568,3,7,0,2.34552,1.5031,0.924595
-0.53237,0.963697,0.44568,2,7,0,0.973115,1.81339,1.02071
-2.06627,0.966488,0.44568,2,7,0,2.08677,0.975782,0.774812
-1.70517,1,0.44568,1,1,0,2.13359,1.05447,0.758274
-0.40097,1,0.44568,3,7,0,2.59751,1.96782,0.930462
-0.736274,0.92796,0.44568,2,3,0,1.56825,2.26515,0.737386
-0.445577,1,0.44568,2,7,0,0.999793,1.85996,0.978774
-0.038693,0.999502,0.44568,2,3,0,0.558652,1.79365,0.815847
-0.662622,0.973337,0.44568,3,7,0,1.23816,1.30702,0.761706
-0.206576,0.866328,0.44568,3,7,0,1.81655,1.46255,0.515815
0.522536,0.926032,0.44568,2,3,0,0.617535,1.7566,0.473204
-0.052228,0.909742,0.44568,2,3,0,0.244867,2.03729,0.485974
-0.052228,0.548998,0.44568,2,3,0,1.76568,2.03729,0.485974
0.243797,1,0.44568,2,3,0,0.126094,1.61017,0.628167
0.453509,0.985736,0.44568,1,3,0,-0.0343962,1.80392,0.582284
0.517304,0.930386,0.44568,3,7,0,1.09905,1.81537,0.487102
0.311126,0.878276,0.44568,3,7,0,0.583376,1.94533,0.534383
0.319511,0.991892,0.44568,2,3,0,-0.207214,1.63348,0.456887
-0.109056,0.943346,0.44568,1,3,0,0.598381,1.46544,0.576993
-1.15655,0.588617,0.44568,2,3,0,3.4431,1.48248,1.25193
-0.756827,0.99969,0.44568,2,3,0,1.20336,1.57307,1.08927
-0.00616332,0.923572,0.44568,3,7,0,2.36356,1.93002,0.768526
-1.72069,0.898902,0.44568,3,7,0,2.23834,0.986941,1.02539
-0.408396,0.688293,0.44568,1,3,0,3.75827,1.37924,0.706703
0.44795,1,0.44568,2,3,0,0.41882,1.84096,0.570712
0.20929,0.93887,0.44568,1,3,0,0.185775,1.64726,0.678477
0.48685,1,0.44568,2,3,0,-0.220555,1.84162,0.529168
0.0289955,0.958802,0.44568,2,3,0,0.0601638,1.69162,0.778524
0.273039,0.979226,0.44568,3,7,0,0.489907,1.7721,0.681696
0.438145,0.998908,0.44568,2,7,0,-0.185295,1.66761,0.495514
0.176913,0.931018,0.44568,3,7,0,0.536868,1.55451,0.569727
0.375209,0.938037,0.44568,1,3,0,0.411612,1.85731,0.611341
-0.135015,0.932349,0.44568,2,3,0,0.351674,2.07658,0.527185
0.475658,0.853917,0.44568,2,3,0,1.14207,1.72576,0.448277
-0.304957,0.824761,0.44568,3,7,0,0.773512,1.7656,0.926328
-0.71649,0.985781,0.44568,3,7,0,1.32215,1.29144,0.709121
-0.0778801,0.998482,0.44568,2,3,0,0.800167,1.50769,0.713881
0.297991,0.992142,0.44568,3,7,0,0.21274,1.67311,0.645635
0.0572347,0.936295,0.44568,3,7,0,0.613725,1.78034,0.77619
-0.104478,0.991957,0.44568,2,7,0,0.301439,2.08306,0.638317
0.0382629,0.989846,0.44568,3,7,0,0.237096,1.88945,0.765268
0.391185,0.856318,0.44568,2,3,0,1.24826,1.80163,0.407652
0.416616,0.75916,0.44568,3,7,0,0.828298,1.76854,0.412729
-1.7414,0.683314,0.44568,2,7,0,2.37311,1.1962,1.43195
0.26859,0.70071,0.44568,2,7,0,2.51141,1.69606,0.670841
0.192399,0.997782,0.44568,3,7,0,0.00353662,1.69157,0.382411
0.48657,0.947069,0.44568,3,7,0,0.33861,1.84983,0.505477
-1.08794,0.732614,0.44568,2,5,0,1.85388,1.18423,0.862795
-1.25405,0.906888,0.44568,2,7,0,1.84104,1.75865,1.35088
-0.873577,0.982296,0.44568,2,7,0,1.5839,1.58932,1.14818
-0.806864,0.973432,0.44568,3,7,0,1.54333,2.18201,0.49764
-0.243355,0.920731,0.44568,2,3,0,1.5238,1.45872,0.50857
0.415151,0.933207,0.44568,2,3,0,0.707198,1.65908,0.544308
0.434144,0.99121,0.44568,3,7,0,-0.112597,1.88292,0.531777
0.476732,0.996571,0.44568,2,3,0,-0.344493,1.76173,0.568443
0.422794,0.974238,0.44568,2,5,0,-0.194916,1.8859,0.480962
0.4774,1,0.44568,2,3,0,-0.421045,1.6979,0.479853
