# stan_version_major = 2
# stan_version_minor = 23
# stan_version_patch = 0
# model = IQStan_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = IQStan.data.json
# init = 2 (Default)
# random
#   seed = 3026686953 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu.1,mu.2,mu.3,sigma
# Adaptation terminated
# Step size = 0.451838
# Diagonal elements of inverse mass matrix:
# 0.00416806, 0.00317954, 0.00302106, 0.147874
-4.96309,0.939892,0.451838,3,7,0,5.79785,92.5228,105.823,152.537,5.74459
-5.39959,0.877849,0.451838,2,7,0,6.90829,97.1765,113.866,154.79,7.67433
-5.36277,0.984159,0.451838,3,7,0,6.56524,93.6115,113.389,159.647,4.85909
-4.23314,0.92023,0.451838,2,7,0,6.56708,94.3415,108.474,154.092,6.51957
-3.92715,0.990708,0.451838,3,7,0,5.17591,94.1062,110.127,158.338,5.06761
-4.0998,0.983173,0.451838,3,7,0,4.52302,95.6706,109.884,151.796,3.98499
-4.44826,0.979859,0.451838,3,7,0,5.39293,94.5014,110.444,159.239,4.43748
-6.00245,0.973164,0.451838,3,7,0,6.62669,97.7424,111.879,156.235,8.88503
-4.87295,0.979028,0.451838,3,7,0,6.73965,94.6076,107.325,151.843,3.87632
-4.87295,0.0390124,0.451838,1,1,0,9.58939,94.6076,107.325,151.843,3.87632
